Timestamp,EPC,Location,Process,Staff
2026-01-31T07:44:00+08:00,30352AC2D4000000000000004,new linen department,in,25004
2026-01-31T13:40:00+08:00,30352AC2D4000000000000004,new linen department,out,25002
2026-01-31T15:39:00+08:00,30352AC2D4000000000000004,cleaned linen department,in,25004
2026-02-02T16:01:00+08:00,30352AC2D4000000000000004,cleaned linen department,out,25003
2026-02-02T16:57:00+08:00,30352AC2D4000000000000004,5C ward,in,25004
2026-02-04T10:14:00+08:00,30352AC2D4000000000000004,5C ward,out,25003
2026-02-04T12:04:00+08:00,30352AC2D4000000000000004,laundry department,in,21004
2026-02-05T06:08:00+08:00,30352AC2D4000000000000004,laundry department,out,21002
2026-02-05T07:20:00+08:00,30352AC2D4000000000000004,cleaned linen department,in,25003
2026-02-07T13:56:00+08:00,30352AC2D4000000000000004,cleaned linen department,out,25002
2026-02-07T14:49:00+08:00,30352AC2D4000000000000004,5C ward,in,25004
2026-01-30T10:00:00+08:00,30352AC2D4000000000000005,new linen department,in,25002
2026-01-30T15:55:00+08:00,30352AC2D4000000000000005,new linen department,out,25001
2026-01-30T16:55:00+08:00,30352AC2D4000000000000005,laundry department,in,21005
2026-01-31T08:01:00+08:00,30352AC2D4000000000000005,laundry department,out,21003
2026-01-31T08:56:00+08:00,30352AC2D4000000000000005,new linen department,in,25004
2026-01-31T13:53:00+08:00,30352AC2D4000000000000005,new linen department,out,25004
2026-01-31T15:36:00+08:00,30352AC2D4000000000000005,cleaned linen department,in,25001
2026-02-02T11:09:00+08:00,30352AC2D4000000000000005,cleaned linen department,out,25002
2026-02-02T12:25:00+08:00,30352AC2D4000000000000005,5C ward,in,25004
2026-02-04T06:58:00+08:00,30352AC2D4000000000000005,5C ward,out,25003
2026-02-04T08:17:00+08:00,30352AC2D4000000000000005,laundry department,in,21002
2026-02-04T21:54:00+08:00,30352AC2D4000000000000005,laundry department,out,21005
2026-02-04T23:06:00+08:00,30352AC2D4000000000000005,cleaned linen department,in,25002
2026-02-07T17:41:00+08:00,30352AC2D4000000000000005,cleaned linen department,out,25003
2026-02-07T18:36:00+08:00,30352AC2D4000000000000005,5C ward,in,25003
2026-01-30T10:30:00+08:00,30352AC2D4000000000000006,new linen department,in,25004
2026-01-30T13:51:00+08:00,30352AC2D4000000000000006,new linen department,out,25001
2026-01-30T15:37:00+08:00,30352AC2D4000000000000006,laundry department,in,21005
2026-01-31T11:23:00+08:00,30352AC2D4000000000000006,laundry department,out,21005
2026-01-31T13:11:00+08:00,30352AC2D4000000000000006,new linen department,in,25003
2026-01-31T17:57:00+08:00,30352AC2D4000000000000006,new linen department,out,25002
2026-01-31T19:42:00+08:00,30352AC2D4000000000000006,cleaned linen department,in,25004
2026-02-02T12:05:00+08:00,30352AC2D4000000000000006,cleaned linen department,out,25004
2026-02-02T13:31:00+08:00,30352AC2D4000000000000006,5C ward,in,25004
2026-02-03T13:58:00+08:00,30352AC2D4000000000000006,5C ward,out,25003
2026-02-03T15:23:00+08:00,30352AC2D4000000000000006,laundry department,in,21005
2026-02-04T08:35:00+08:00,30352AC2D4000000000000006,laundry department,out,21003
2026-02-04T10:07:00+08:00,30352AC2D4000000000000006,cleaned linen department,in,25003
2026-02-06T20:46:00+08:00,30352AC2D4000000000000006,cleaned linen department,out,25001
2026-02-06T22:36:00+08:00,30352AC2D4000000000000006,5C ward,in,25004
2026-01-30T11:00:00+08:00,30352AC2D4000000000000007,new linen department,in,25003
2026-01-30T15:50:00+08:00,30352AC2D4000000000000007,new linen department,out,25004
2026-01-30T16:52:00+08:00,30352AC2D4000000000000007,laundry department,in,21005
2026-01-31T08:18:00+08:00,30352AC2D4000000000000007,laundry department,out,21002
2026-01-31T09:53:00+08:00,30352AC2D4000000000000007,new linen department,in,25002
2026-01-31T13:38:00+08:00,30352AC2D4000000000000007,new linen department,out,25003
2026-01-31T15:10:00+08:00,30352AC2D4000000000000007,cleaned linen department,in,25003
2026-02-02T16:24:00+08:00,30352AC2D4000000000000007,cleaned linen department,out,25001
2026-02-02T17:21:00+08:00,30352AC2D4000000000000007,5C ward,in,25003
2026-02-04T17:03:00+08:00,30352AC2D4000000000000007,5C ward,out,25004
2026-02-04T17:37:00+08:00,30352AC2D4000000000000007,laundry department,in,21004
2026-02-05T11:36:00+08:00,30352AC2D4000000000000007,laundry department,out,21005
2026-02-05T13:21:00+08:00,30352AC2D4000000000000007,cleaned linen department,in,25004
2026-02-08T00:57:00+08:00,30352AC2D4000000000000007,cleaned linen department,out,25004
2026-02-08T02:11:00+08:00,30352AC2D4000000000000007,5C ward,in,25003
2026-01-30T11:30:00+08:00,30352AC2D4000000000000008,new linen department,in,25003
2026-01-30T17:04:00+08:00,30352AC2D4000000000000008,new linen department,out,25002
2026-01-30T18:01:00+08:00,30352AC2D4000000000000008,laundry department,in,21005
2026-01-31T06:50:00+08:00,30352AC2D4000000000000008,laundry department,out,21005
2026-01-31T07:27:00+08:00,30352AC2D4000000000000008,new linen department,in,25001
2026-01-31T12:40:00+08:00,30352AC2D4000000000000008,new linen department,out,25004
2026-01-31T14:38:00+08:00,30352AC2D4000000000000008,cleaned linen department,in,25002
2026-02-02T10:39:00+08:00,30352AC2D4000000000000008,cleaned linen department,out,25002
2026-02-02T12:18:00+08:00,30352AC2D4000000000000008,5C ward,in,25004
2026-02-04T15:44:00+08:00,30352AC2D4000000000000008,5C ward,out,25004
2026-02-04T16:23:00+08:00,30352AC2D4000000000000008,laundry department,in,21005
2026-02-05T07:22:00+08:00,30352AC2D4000000000000008,laundry department,out,21001
2026-02-05T09:09:00+08:00,30352AC2D4000000000000008,cleaned linen department,in,25002
2026-02-08T08:59:00+08:00,30352AC2D4000000000000008,cleaned linen department,out,25001
2026-02-08T09:30:00+08:00,30352AC2D4000000000000008,5C ward,in,25003
2026-01-30T12:00:00+08:00,30352AC2D4000000000000009,new linen department,in,25003
2026-01-30T15:48:00+08:00,30352AC2D4000000000000009,new linen department,out,25004
2026-01-30T16:40:00+08:00,30352AC2D4000000000000009,laundry department,in,21001
2026-01-31T05:54:00+08:00,30352AC2D4000000000000009,laundry department,out,21003
2026-01-31T07:23:00+08:00,30352AC2D4000000000000009,new linen department,in,25003
2026-01-31T10:31:00+08:00,30352AC2D4000000000000009,new linen department,out,25002
2026-01-31T11:47:00+08:00,30352AC2D4000000000000009,cleaned linen department,in,25004
2026-02-02T11:08:00+08:00,30352AC2D4000000000000009,cleaned linen department,out,25002
2026-02-02T11:59:00+08:00,30352AC2D4000000000000009,5C ward,in,25004
2026-02-05T08:32:00+08:00,30352AC2D4000000000000009,5C ward,out,25003
2026-02-05T09:21:00+08:00,30352AC2D4000000000000009,laundry department,in,21001
2026-02-06T04:24:00+08:00,30352AC2D4000000000000009,laundry department,out,21001
2026-02-06T05:39:00+08:00,30352AC2D4000000000000009,cleaned linen department,in,25003
2026-02-08T22:32:00+08:00,30352AC2D4000000000000009,cleaned linen department,out,25001
2026-02-08T23:29:00+08:00,30352AC2D4000000000000009,5C ward,in,25003
2026-01-30T12:30:00+08:00,30352AC2D4000000000000010,new linen department,in,25004
2026-01-30T17:17:00+08:00,30352AC2D4000000000000010,new linen department,out,25003
2026-01-30T18:42:00+08:00,30352AC2D4000000000000010,laundry department,in,21004
2026-01-31T08:06:00+08:00,30352AC2D4000000000000010,laundry department,out,21002
2026-01-31T08:42:00+08:00,30352AC2D4000000000000010,new linen department,in,25004
2026-01-31T11:24:00+08:00,30352AC2D4000000000000010,new linen department,out,25002
2026-01-31T12:07:00+08:00,30352AC2D4000000000000010,cleaned linen department,in,25002
2026-02-03T06:07:00+08:00,30352AC2D4000000000000010,cleaned linen department,out,25002
2026-02-03T07:56:00+08:00,30352AC2D4000000000000010,5C ward,in,25003
2026-02-04T19:06:00+08:00,30352AC2D4000000000000010,5C ward,out,25003
2026-02-04T20:23:00+08:00,30352AC2D4000000000000010,laundry department,in,21003
2026-02-05T15:27:00+08:00,30352AC2D4000000000000010,laundry department,out,21003
2026-02-05T17:00:00+08:00,30352AC2D4000000000000010,cleaned linen department,in,25004
2026-02-08T09:10:00+08:00,30352AC2D4000000000000010,cleaned linen department,out,25001
2026-02-08T10:45:00+08:00,30352AC2D4000000000000010,5C ward,in,25004
